Code,Name,Name (Arabic),Phone,Email,Credit Limit,Payment Terms (Days),Opening Balance,Notes
CUST-1077,First Gulf Interiors 2,,+965 58201698,first.gulf.interiors77@example.com.kw,32437.323,0,5408.150,"active account, Farwaniya"
CUST-1078,Al-Rashed Villas 2,,+965 78677240,alrashed.villas78@example.com.kw,18763.780,45,2262.266,"active account, Rai"
CUST-1079,Al-Sanea Property 2,,+965 75058910,alsanea.property79@example.com.kw,23789.005,0,0.000,"active account, Ahmadi"
CUST-1080,Al-Fahad Contracting 3,,+965 82411266,alfahad.contracting80@example.com.kw,9233.707,60,0.000,
CUST-1081,Modern Home Fix-It  Est. 3,,+965 86444890,modern.home.fixit81@example.com.kw,19277.885,60,4477.346,"active account, Fahaheel"
CUST-1082,AL-SABAH VILLA SERVICES 3,,+965 85344512,alsabah.villa.services82@example.com.kw,25234.785,90,KD 0.000,"active account, Ahmadi"
CUST-1083,Bayt Al-Jomard 3,,+965 52493225,bayt.aljomard83@example.com.kw,5637.661,90,0.000,"active account, Hawally"
CUST-1084, Al-Duaij Maintenance  Est. 3 ,,+965 93977716,alduaij.maintenance84@example.com.kw,14684.189,60,"4,169.786","active account, Jahra"
CUST-1085, Gulf Builders 3 ,,+965 64055193,gulf.builders85@example.com.kw,17306.505,60,0.000,"active account, Fahaheel"
CUST-1086,Salem Al-Rashidi 3,,+965 63014567,salem.alrashidi86@example.com.kw,20720.030,15,0.000,"inactive account, Farwaniya"
CUST-1087,FAHAD AL-OTAIBI 3,,+965 62185014,fahad.alotaibi87@example.com.kw,30455.660,45,4864.001,"active account, Ahmadi"
CUST-1088,Al-Mutairi Est. 3,,+965 64301481,almutairi.est.88@example.com.kw,30003.656,60,KD 1111.921,
CUST-1089,New Kuwait Contracting 3,,+965 90706711,new.kuwait.contracting89@example.com.kw,48691.211,30,KWD 994.201,"active account, Shuwaikh"
CUST-1090,Al-Ajmi Interiors 3,,+965 56376346,alajmi.interiors90@example.com.kw,KD 11900.570,0,0.000,"active account, Hawally"
CUST-1091,ahmad al-kandari 3.,,+965 60641821,,33215.946,30,KWD 0.000,
CUST-1092,Al-Enezi General Maintenance 3,,+965 67484690,alenezi.general.maintenance92@example.com.kw,21037.468,30,5513.223,"active account, Ahmadi"
CUST-1093,Desert Rose Interiors 3  ,,+965 62261278,desert.rose.interiors93@example.com.kw,44705.229,0,3558.653,
CUST-1094,Al-Anjari Villas  Est. 3,,+965 98025053,alanjari.villas94@example.com.kw,19687.695,45,0.000,"active account, Shuwaikh"
CUST-1095,al-roumi renovation  est. 3,,+965 65023019,alroumi.renovation95@example.com.kw,8836.192,30,7257.989,"active account, Kuwait City"
CUST-1096,Union Facility Services  Est. 3,,+965 62850365,union.facility.services96@example.com.kw,23335.140,45,3860.697,"active account, Farwaniya"
CUST-1097,Al-Yaqout Villas 3,,+965 53876348,alyaqout.villas97@example.com.kw,"23,385.177",90,0.000,"active account, Ardiya"
CUST-1098,Al-Qadi Household 3,,+965 89636851,alqadi.household98@example.com.kw,38419.502,45,5213.917,
CUST-1099,Nasser Al-Hajeri 3,,+965 90487303,nasser.alhajeri99@example.com.kw,31607.446,30,6212.012,
CUST-1100,Al-Ghanim Home Repairs 3,,+965 99483068,alghanim.home.repairs100@example.com.kw,15305.530,15,KD 0.000,"active account, Kuwait City"
CUST-1101,Al-Bahar Property Services 3,,+965 90016419,albahar.property.services101@example.com.kw,4332.884,0,KD 1795.449,"active account, Rai"
CUST-1102, Gulf Facility Management 3 ,,+965 67376600,gulf.facility.management102@example.com.kw,4688.834,0,4200.849,"active account, Farwaniya"
CUST-1103,"Continental Maintenance Co. 3,",,+965 71214647,continental.maintenance.co.103@example.com.kw,12297.459,0,724.016,"active account, Rai"
CUST-1104,Al-Zamil Villas 3,,+965 96187973,alzamil.villas104@example.com.kw,34936.222,60,2017.797,
CUST-1105,Bin Hindi Property  Est. 3,,+965 61745925,bin.hindi.property105@example.com.kw,26691.911,60,7297.626,"active account, Fahaheel"
CUST-1106,al-wazzan maintenance  est. 3,,+965 50858064,alwazzan.maintenance106@example.com.kw,20569.596,0,436.606,"active account, Kuwait City"
CUST-1107,Al-Marzouq Home 3,,+965 55786953,almarzouq.home107@example.com.kw,31111.739,90,KWD 0.000,
CUST-1108,Farwaniya Fix-It Center 3,,+965 90948187,farwaniya.fixit.center108@example.com.kw,43654.778,90,0.000,"active account, Shuwaikh"
CUST-1109,Salmiya Handyman Services  Est. 3,,+965 98110148,salmiya.handyman.services109@example.com.kw,"49,277.974",90,696.141,"active account, Shuwaikh"
CUST-1110, Hawally Repair Shop 3 ,,+965 51281354,hawally.repair.shop110@example.com.kw,6091.064,0,0.000,"active account, Ahmadi"
CUST-1111,  Jahra Building Supplies Buyer 3,,+965 99887177,jahra.building.supplies.buyer111@example.com.kw,1878.523,0,KD 7898.913,"active account, Fahaheel"
CUST-1112,Ahmadi Villa Care 3,,+965 84141819,ahmadi.villa.care112@example.com.kw,46210.163,0,0.000,
CUST-1113,Fahaheel Home Services 3,,+965 77211973,fahaheel.home.services113@example.com.kw,12917.838,45,3793.614,"active account, Kuwait City"
CUST-1114,Al-Khaled General Trading 3,,+965 73557993,alkhaled.general.trading114@example.com.kw,43085.522,60,0.000,"active account, Rai"
CUST-1115,Al-Nasser Renovation 3,,+965 68689102,alnasser.renovation115@example.com.kw,16382.332,90,0.000,
CUST-1116,Al-Osaimi Maintenance  Est. 3,,+965 83470790,alosaimi.maintenance116@example.com.kw,KWD 7707.405,15,0.000,
CUST-1117,First Gulf Interiors 3,,+965 59093117,first.gulf.interiors117@example.com.kw,"47,376.965",15,0.000,"active account, Jahra"
CUST-1118,"Al-Rashed Villas 3,",,+965 54863029,alrashed.villas118@example.com.kw,"8,007.302",30,971.563,"active account, Ardiya"
CUST-1119,Al-Sanea Property 3,,+965 85094866,alsanea.property119@example.com.kw,5417.508,0,2108.758,
CUST-1120,Al-Fahad Contracting  Est. 4,,+965 95573149,alfahad.contracting120@example.com.kw,36510.243,0,KD 0.000,
CUST-1121,Modern Home Fix-It  Est. 4,,+965 99648955,modern.home.fixit121@example.com.kw,"18,375.184",0,654.769,"inactive account, Ahmadi"
CUST-1122,Al-Sabah Villa Services 4,,+965 75150574,alsabah.villa.services122@example.com.kw,30109.520,15,0.000,"active account, Ahmadi"
CUST-1123,Bayt Al-Jomard 4,,+965 64102271,bayt.aljomard123@example.com.kw,743.265,15,3043.815,"active account, Jahra"
CUST-1124,Al-Duaij Maintenance 4,,+965 71760491,alduaij.maintenance124@example.com.kw,30739.184,15,7183.232,"active account, Jahra"
CUST-1125,Gulf Builders 4,,+965 88277531,,KWD 23101.987,45,0.000,"active account, Rai"
CUST-1126,Salem Al-Rashidi 4,,+965 84379187,salem.alrashidi126@example.com.kw,1891.345,15,644.167,"active account, Fahaheel"
CUST-1127,Fahad Al-Otaibi 4,,+965 81648649,fahad.alotaibi127@example.com.kw,26872.444,15,0.000,
CUST-1128,Al-Mutairi Est. 4,,+965 77744038,almutairi.est.128@example.com.kw,27500.978,45,7383.895,
CUST-1129,New Kuwait Contracting 4,,+965 96603242,new.kuwait.contracting129@example.com.kw,44062.817,90,480.621,
CUST-1130,Al-Ajmi Interiors 4,,+965 85802055,alajmi.interiors130@example.com.kw,2776.684,0,0.000,
CUST-1131,Ahmad Al-Kandari  Est. 4,,+965 95703137,,49666.736,30,0.000,"active account, Rai"
CUST-1132,Al-Enezi General Maintenance  Est. 4,,+965 55916871,alenezi.general.maintenance132@example.com.kw,14159.523,45,0.000,"active account, Hawally"
CUST-1133,Desert Rose Interiors 4,,+965 71842765,desert.rose.interiors133@example.com.kw,"40,261.604",15,4089.483,"active account, Hawally"
CUST-1134,Al-Anjari Villas 4,,+965 90274611,alanjari.villas134@example.com.kw,KWD 1888.038,30,2254.064,"active account, Farwaniya"
CUST-1135,Al-Roumi Renovation 4,,+965 53334093,alroumi.renovation135@example.com.kw,12015.689,0,0.000,"active account, Fahaheel"
CUST-1136,Union Facility Services 4,,+965 83706679,union.facility.services136@example.com.kw,40256.792,60,155.598,"active account, Hawally"
CUST-1137,Al-Yaqout Villas 4,,+965 83329439,alyaqout.villas137@example.com.kw,8622.857,60,0.000,"active account, Farwaniya"
CUST-1138,Al-Qadi Household 4,,+965 70503318,alqadi.household138@example.com.kw,27794.400,30,539.176,"active account, Rai"
CUST-1139,Nasser Al-Hajeri 4,,+965 85884026,,40191.150,30,4525.242,
CUST-1140,al-ghanim home repairs  est. 4,,+965 65261999,,39987.442,45,0.000,
CUST-1141,al-bahar property services 4,,+965 96482462,albahar.property.services141@example.com.kw,"20,723.690",30,0.000,
CUST-1142,Gulf Facility Management 4,,+965 83047087,gulf.facility.management142@example.com.kw,43608.002,60,7890.500,"active account, Ardiya"
CUST-1143,Continental Maintenance Co. 4,,+965 95648107,continental.maintenance.co.143@example.com.kw,"18,162.358",45,7676.197,
CUST-1144,Al-Zamil Villas 4,,+965 80397571,,24294.526,60,"1,780.100",
CUST-1145,Bin Hindi Property 4,,+965 78924874,bin.hindi.property145@example.com.kw,43856.133,15,7715.142,"active account, Jahra"
CUST-1146,Al-Wazzan Maintenance  Est. 4,,+965 62809346,alwazzan.maintenance146@example.com.kw,42312.933,15,19.629,"inactive account, Salmiya"
CUST-1147,Al-Marzouq Home 4,,+965 91933749,almarzouq.home147@example.com.kw,17603.632,15,0.000,
CUST-1148,Farwaniya Fix-It Center 4,,+965 84495913,farwaniya.fixit.center148@example.com.kw,2685.179,15,0.000,
CUST-1149,Salmiya Handyman Services 4,,+965 50762131,salmiya.handyman.services149@example.com.kw,33255.625,90,819.330,"active account, Ahmadi"
CUST-1150,Hawally Repair Shop 4,,+965 92342228,hawally.repair.shop150@example.com.kw,3136.360,0,4921.413,
CUST-1151,Jahra Building Supplies Buyer 4,,+965 74557863,jahra.building.supplies.buyer151@example.com.kw,42520.925,45,KWD 0.000,
CUST-1152,Ahmadi Villa Care 4,,+965 86773133,ahmadi.villa.care152@example.com.kw,3475.830,60,0.000,"active account, Rai"
CUST-1153,Fahaheel Home Services 4,,+965 56377096,fahaheel.home.services153@example.com.kw,44773.785,15,1644.166,"active account, Shuwaikh"
CUST-1154,Al-Khaled General Trading 4,,+965 66782580,alkhaled.general.trading154@example.com.kw,24409.124,90,2290.379,"active account, Shuwaikh"
CUST-1155,Al-Nasser Renovation 4,,+965 52382219,alnasser.renovation155@example.com.kw,30226.693,45,3769.841,
CUST-1156,Al-Osaimi Maintenance 4,,+965 50456782,alosaimi.maintenance156@example.com.kw,21533.730,15,97.685,"active account, Rai"
CUST-1157,First Gulf Interiors 4,,+965 97471779,first.gulf.interiors157@example.com.kw,22169.577,60,1282.729,
CUST-1158,Al-Rashed Villas 4,,+965 59149925,,27739.621,15,0.000,
CUST-1159,Al-Sanea Property 4,,+965 74708131,alsanea.property159@example.com.kw,1035.038,0,0.000,
CUST-1160,Al-Fahad Contracting 5.,,+965 54035711,,17658.301,90,0.000,"active account, Jahra"
CUST-1161,Modern Home Fix-It  Est. 5,,+965 56855976,modern.home.fixit161@example.com.kw,18650.631,45,2600.347,
CUST-1162,Al-Sabah Villa Services 5.,,+965 72467213,alsabah.villa.services162@example.com.kw,"29,245.034",45,KWD 6297.856,
CUST-1163,Bayt Al-Jomard 5,,+965 62512279,bayt.aljomard163@example.com.kw,35885.734,90,1919.222,"active account, Fahaheel"
CUST-1164,Al-Duaij Maintenance  Est. 5,,+965 85722032,alduaij.maintenance164@example.com.kw,31103.673,30,4345.814,"active account, Shuwaikh"
CUST-1165,Gulf Builders 5,,+965 79854693,,KWD 27650.091,15,0.000,
CUST-1166,Salem Al-Rashidi 5,,+965 99150721,salem.alrashidi166@example.com.kw,41275.438,45,567.108,"active account, Jahra"
CUST-1167,fahad  al-otaibi  est. 5,,+965 74748712,fahad.alotaibi167@example.com.kw,"27,034.533",45,5364.369,
CUST-1168,Al-Mutairi Est. 5.,,+965 62538330,almutairi.est.168@example.com.kw,26534.554,90,3950.169,"active account, Hawally"
CUST-1169,New Kuwait Contracting 5,,+965 86588585,new.kuwait.contracting169@example.com.kw,16038.568,0,0.000,"active account, Jahra"
CUST-1170, al-ajmi interiors  est. 5 ,,+965 63709556,alajmi.interiors170@example.com.kw,49268.639,60,0.000,"active account, Kuwait City"
CUST-1171,Ahmad Al-Kandari 5,,+965 95575773,ahmad.alkandari171@example.com.kw,18510.332,30,0.000,
CUST-1172,Al-Enezi General Maintenance  Est. 5,,+965 81724488,alenezi.general.maintenance172@example.com.kw,KD 30731.554,60,1980.512,
CUST-1173,Desert Rose Interiors  Est. 5,,+965 83113481,desert.rose.interiors173@example.com.kw,40735.156,30,0.000,"active account, Jahra"
CUST-1174,Al-Anjari Villas 5,,+965 55918302,alanjari.villas174@example.com.kw,1803.571,30,0.000,
CUST-1175,Al-Roumi Renovation 5,,+965 90136399,alroumi.renovation175@example.com.kw,KD 9776.795,60,7567.803,
CUST-1176,union facility services  est. 5,,+965 59084929,union.facility.services176@example.com.kw,KWD 20240.064,15,3542.811,"active account, Hawally"
CUST-1177,al-yaqout villas 5,,+965 85768899,alyaqout.villas177@example.com.kw,26325.343,0,2217.425,"active account, Hawally"
CUST-1178,Al-Qadi Household 5,,+965 79369188,alqadi.household178@example.com.kw,21074.318,60,0.000,"active account, Fahaheel"
CUST-1179,Nasser Al-Hajeri 5,,+965 91915018,nasser.alhajeri179@example.com.kw,14280.615,45,0.000,"active account, Hawally"
CUST-1180,Al-Ghanim Home Repairs 5,,+965 82107128,alghanim.home.repairs180@example.com.kw,"40,014.700",15,KWD 2612.537,"active account, Jahra"
CUST-1181,"Al-Bahar Property Services 5,",,+965 67261404,,7131.331,45,0.000,
CUST-1182,Gulf Facility Management 5,,+965 92690886,gulf.facility.management182@example.com.kw,34625.185,0,3220.422,
CUST-1183,Continental Maintenance Co. 5,,+965 88754537,continental.maintenance.co.183@example.com.kw,26076.580,15,0.000,"active account, Ardiya"
CUST-1184,Al-Zamil Villas  Est. 5,,+965 50762696,,21093.889,45,"5,610.132","active account, Hawally"
CUST-1185,Bin Hindi Property  Est. 5,,+965 87533034,bin.hindi.property185@example.com.kw,29809.218,15,0.000,
CUST-1186,Al-Wazzan Maintenance 5,,+965 54396972,,8164.649,60,3752.860,
CUST-1187,Al-Marzouq Home 5,,+965 72189730,almarzouq.home187@example.com.kw,30365.891,45,4820.436,
CUST-1188,Farwaniya Fix-It Center 5,,+965 69105211,farwaniya.fixit.center188@example.com.kw,2080.739,60,696.013,"active account, Rai"
CUST-1189,Salmiya Handyman Services 5,,+965 50196060,salmiya.handyman.services189@example.com.kw,5304.681,0,5564.151,
CUST-1190,Hawally Repair Shop 5,,+965 52098950,hawally.repair.shop190@example.com.kw,27973.235,45,0.000,"active account, Shuwaikh"
CUST-1191,Jahra Building Supplies Buyer  Est. 5,,+965 65541702,jahra.building.supplies.buyer191@example.com.kw,35874.198,90,5285.033,
CUST-1192,Ahmadi Villa Care 5,,+965 93488422,ahmadi.villa.care192@example.com.kw,36083.764,0,0.000,
CUST-1193,Fahaheel Home Services 5,,+965 87605557,fahaheel.home.services193@example.com.kw,26016.181,30,0.000,"active account, Ahmadi"
CUST-1194,Al-Khaled General Trading 5,,+965 54945769,alkhaled.general.trading194@example.com.kw,"10,718.505",30,344.003,"active account, Shuwaikh"
CUST-1195,Al-Nasser Renovation 5,,+965 75672528,alnasser.renovation195@example.com.kw,48943.492,30,4836.038,
CUST-1196,Al-Osaimi Maintenance  Est. 5,,+965 51021925,alosaimi.maintenance196@example.com.kw,28854.903,30,0.000,"active account, Ahmadi"
CUST-1197,First Gulf Interiors  Est. 5,,+965 73989306,first.gulf.interiors197@example.com.kw,20686.984,30,5150.642,
CUST-1198,Al-Rashed Villas 5,,+965 97113485,alrashed.villas198@example.com.kw,39476.335,30,0.000,"active account, Salmiya"
CUST-1199,Al-Sanea Property 5,,+965 50890675,alsanea.property199@example.com.kw,23953.421,30,0.000,
CUST-1200,Al-Fahad Contracting 6,,+965 96132842,alfahad.contracting200@example.com.kw,"26,130.797",15,2183.341,"active account, Fahaheel"
CUST-1201,Modern Home Fix-It  Est. 6,,+965 59249134,modern.home.fixit201@example.com.kw,KD 13710.647,60,0.000,"active account, Ahmadi"
CUST-1202,al-sabah villa services 6,,+965 70937904,alsabah.villa.services202@example.com.kw,32422.764,30,0.000,"active account, Ahmadi"
CUST-1203,Bayt Al-Jomard  Est. 6,,+965 57685751,bayt.aljomard203@example.com.kw,KWD 43710.192,15,1766.453,
CUST-1204,Al-Duaij Maintenance 6,,+965 79926946,alduaij.maintenance204@example.com.kw,12013.834,45,5735.461,
CUST-1205,Gulf Builders  Est. 6,,+965 51485540,gulf.builders205@example.com.kw,31670.749,45,1025.244,"active account, Kuwait City"
CUST-1206,"Salem Al-Rashidi 6,",,+965 97950242,salem.alrashidi206@example.com.kw,48478.475,30,0.000,"active account, Shuwaikh"
CUST-1207,Fahad Al-Otaibi 6,,+965 82311931,fahad.alotaibi207@example.com.kw,3262.290,30,0.000,
CUST-1208,Al-Mutairi Est. 6,,+965 90759493,almutairi.est.208@example.com.kw,25165.301,45,KD 0.000,"active account, Kuwait City"
CUST-1209,New Kuwait Contracting 6,,+965 89452483,new.kuwait.contracting209@example.com.kw,16347.138,0,KWD 0.000,"active account, Ardiya"
CUST-1210,Al-Ajmi Interiors 6,,+965 55802416,alajmi.interiors210@example.com.kw,37760.270,30,KD 2149.259,"active account, Shuwaikh"
CUST-1211,Ahmad Al-Kandari 6,,+965 54391122,ahmad.alkandari211@example.com.kw,41869.142,15,KD 982.265,"active account, Farwaniya"
CUST-1212,Al-Enezi General Maintenance 6,,+965 63788526,alenezi.general.maintenance212@example.com.kw,12508.661,90,5662.812,"active account, Ahmadi"
