partyCode,partyName,invoiceNumber,invoiceDate,dueDate,amount
SUP-1046,Al-Ghanim W.L.L. 2,BILL-50630,2025-10-17,2025-12-01,346.915
SUP-1006,Al-Ghanim Trading Co..,BILL-50631,06-01-2026,06-04-2026,2882.310
SUP-1051,  Al-Fahad Trading Co. 2,BILL-50632,15-11-2025,15-12-2025,1441.830
SUP-1010,Kuwait Steel W.L.L.,BILL-50633,20-01-2026,20-04-2026,2858.528
SUP-1043,AL-KUWAIT BUILDING MATERIALS TRADING EST. 2,BILL-50634,2026-06-11,2026-07-11,1972.415
SUP-1043,"Al-Kuwait Building Materials Trading Est. 2,",BILL-50635,07-05-2026,06-06-2026,433.035
SUP-1075,Bin Nakhi General Trading Co. W.L.L. 2,BILL-50636,2026-05-01,2026-06-15,3301.217
SUP-1053,Al-Qadi Est. 2,BILL-50637,11-02-2026,28-03-2026,181.293
SUP-1011,Al-Fahad General Trading Co. W.L.L.,BILL-50638,2026-02-06,2026-03-08,329.495
SUP-1012,Union Hardware W.L.L.,BILL-50639,2026-04-26,2026-05-11,1583.254
SUP-1033,Gulf Ironmongery General Trading Co. W.L.L.,BILL-50640,26-04-2026,26-05-2026,520.747
SUP-1059,Bin Hindi Est. 2,BILL-50641,23-01-2026,07-02-2026,KD 1955.436
SUP-1001,Al-Rashed W.L.L.,BILL-50642,2025-10-07,2025-11-06,1285.356
SUP-1053,Al-Qadi Est. 2,BILL-50643,2026-06-04,2026-07-19,"1,140.591"
SUP-1026,Al-Ajmi General Trading Co. W.L.L.,BILL-50644,2025-10-13,2025-11-12,KWD 2757.948
SUP-1039,First Gulf Tools Est.,BILL-50645,2026-02-28,2026-03-30,3273.328
SUP-1048,Al-Marzouq Trading Co. 2,BILL-50646,2025-08-07,2025-11-05,2716.790
SUP-1049,Al-Bahar W.L.L. 2,BILL-50647,2026-07-28,2026-10-26,214.061
SUP-1008,Al-Marzouq Trading Est.,BILL-50648,19-02-2026,06-03-2026,1821.450
SUP-1041,Al-Rashed W.L.L. 2,BILL-50649,2025-10-06,2025-11-05,176.087
SUP-1023,Al-Roumi General Trading Co. W.L.L.,BILL-50650,2026-01-09,2026-02-08,2466.091
SUP-1029,Salem  Trading Trading Co.,BILL-50651,2026-06-07,2026-08-06,KD 2432.278
SUP-1067,Continental Hardware Trading Est. 2,BILL-50652,2026-03-29,2026-04-13,622.801
SUP-1064,Al-Sabah Trading W.L.L. 2,BILL-50653,02-12-2025,17-12-2025,976.763
SUP-1020,  Al-Duaij Trading Co.,BILL-50654,01-01-2026,01-04-2026,2887.053
SUP-1056,Al-Ostath Trading Co. 2,BILL-50655,17-06-2026,01-08-2026,1463.776
SUP-1039,First Gulf Tools Est.,BILL-50656,2026-06-12,2026-07-12,KD 860.132
SUP-1062,Al-Hajeri Trading Co. 2,BILL-50657,2025-12-19,2026-01-18,2847.973
SUP-1043,Al-Kuwait Building Materials Trading Est. 2,BILL-50658,04-10-2025,03-11-2025,1720.279
SUP-1073,Gulf Ironmongery Trading Est. 2,BILL-50659,10-01-2026,10-04-2026,3258.407
SUP-1076,Al-Enezi W.L.L. 2,BILL-50660,18-01-2026,17-02-2026,"1,945.593"
SUP-1029,Salem Trading Trading Co.,BILL-50661,11-04-2026,10-06-2026,1743.509
SUP-1009,Al-Bahar W.L.L.,BILL-50662,05-06-2026,03-09-2026,814.627
SUP-1005,National Tools W.L.L.,BILL-50663,2026-04-15,2026-05-15,2592.200
SUP-1072,Al-Anjari Est. 2,BILL-50664,2025-11-03,2026-02-01,KWD 1978.633
SUP-1053,al-qadi est. 2,BILL-50665,23-11-2025,07-01-2026,1364.413
SUP-1012,Union Hardware W.L.L.,BILL-50666,2025-09-06,2025-09-21,1001.930
SUP-1060,Al-Duaij Trading Est. 2,BILL-50667,17-02-2026,03-04-2026,3453.361
SUP-1046,Al-Ghanim W.L.L. 2,BILL-50668,2025-08-25,2025-10-09,"2,476.682"
SUP-1009,Al-Bahar W.L.L.,BILL-50669,12-07-2026,10-10-2026,"1,393.749"
SUP-1036,Al-Enezi Est.,BILL-50670,2025-10-03,2025-12-02,KWD 108.958
SUP-1077,Kuwait Adhesives General Trading Co. W.L.L. 2,BILL-50671,2025-10-01,2025-11-15,3277.218
SUP-1033,Gulf Ironmongery General Trading Co. W.L.L.,BILL-50672,2026-05-30,2026-06-29,1423.123
SUP-1023,Al-Roumi General Trading Co. W.L.L.,BILL-50673,09-08-2025,08-09-2025,"3,071.180"
SUP-1034,Al-Nasser W.L.L.,BILL-50674,2025-08-10,2025-11-08,1490.333
SUP-1016,Al-Ostath General Trading Co. W.L.L.,BILL-50675,2025-12-11,2026-01-10,KWD 2070.990
SUP-1014,AL-MUTAWA TRADING EST.,BILL-50676,18-03-2026,16-06-2026,513.740
SUP-9458,Sultan Center Trading Co.,BILL-50677,2026-01-03,2026-02-17,2476.702
SUP-1039,First Gulf Tools Est.,BILL-50678,19-02-2026,21-03-2026,KD 456.657
SUP-1010,Kuwait Steel W.L.L.,BILL-50679,13-05-2026,11-08-2026,710.655
SUP-1018,"Al-Wazzan W.L.L.,",BILL-50680,26-03-2026,10-04-2026,3261.875
SUP-1039,First Gulf Tools Est.,BILL-50681,14-02-2026,16-03-2026,578.385
SUP-1001,Al-Rashed W.L.L.,BILL-50682,01-02-2026,03-03-2026,3071.211
SUP-1070,Al-Khaled General Trading Co. W.L.L. 2,BILL-50683,2026-01-23,2026-03-24,417.982
SUP-1038,Al-Osaimi Trading Co.,BILL-50684,30-09-2025,29-12-2025,3350.361
SUP-1011,Al-Fahad General Trading Co. W.L.L.,BILL-50685,2025-08-17,2025-09-16,3393.387
SUP-1009,Al-Bahar W.L.L.,BILL-50686,2026-02-08,2026-05-09,2311.516
SUP-1073,Gulf Ironmongery Trading Est. 2,BILL-50687,04-05-2026,02-08-2026,2446.091
SUP-1073,Gulf Ironmongery Trading Est. 2,BILL-50688,2026-03-04,2026-06-02,436.479
SUP-1037,Kuwait Adhesives W.L.L.,BILL-50689,05-11-2025,05-12-2025,KD 2755.676
SUP-1051,Al-Fahad Trading Co. 2,BILL-50690,23-02-2026,25-03-2026,3287.012
SUP-1078,Al-Osaimi General Trading Co. W.L.L. 2,BILL-50691,05-08-2026,19-09-2026,2446.817
SUP-1014,Al-Mutawa Trading Est.,BILL-50692,20-05-2026,18-08-2026,191.598
SUP-1074,AL-NASSER W.L.L. 2,BILL-50693,2025-11-06,2026-01-05,"1,902.928"
SUP-1075,Bin Nakhi General Trading Co. W.L.L. 2,BILL-50694,2026-01-28,2026-03-14,779.569
SUP-1058,Al-Wazzan Est. 2,BILL-50695,28-06-2026,27-08-2026,1367.416
SUP-1013,AL-QADI EST.,BILL-50696,20-11-2025,05-12-2025,1227.967
SUP-1055,Gulf Fasteners Trading Est. 2,BILL-50697,04-10-2025,02-01-2026,1566.949
SUP-1006,al-ghanim trading co.,BILL-50698,17-09-2025,16-12-2025,1839.966
SUP-1019,Bin Hindi Est.,BILL-50699,22-11-2025,21-01-2026,622.531
SUP-1067,Continental Hardware Trading Est. 2,BILL-50700,05-06-2026,20-06-2026,889.495
SUP-1045,National Tools W.L.L. 2,BILL-50701,2025-11-18,2026-01-02,997.943
SUP-1024,Al-Sabah Trading Trading Co.,BILL-50702,2025-09-29,2025-12-28,KD 1998.059
SUP-1070,Al-Khaled General Trading Co. W.L.L. 2,BILL-50703,17-04-2026,16-06-2026,"2,013.239"
SUP-1022,AL-HAJERI W.L.L.,BILL-50704,05-06-2026,05-07-2026,1710.499
SUP-1054,Al-Mutawa General Trading Co. W.L.L. 2,BILL-50705,2026-07-12,2026-10-10,3085.964
SUP-1004,Al-Zamil Trading Co.,BILL-50706,28-07-2026,27-08-2026,1662.768
SUP-1010,Kuwait Steel W.L.L.,BILL-50707,11-03-2026,09-06-2026,1754.906
SUP-1004,Al-Zamil Trading Co.,BILL-50708,14-05-2026,13-06-2026,450.691
SUP-1017,MIDDLE EAST TOOLS W.L.L.,BILL-50709,2025-08-19,2025-11-17,505.379
SUP-1011,Al-Fahad General Trading Co. W.L.L.,BILL-50710,22-04-2026,22-05-2026,3069.533
SUP-1045,National Tools W.L.L. 2,BILL-50711,11-07-2026,25-08-2026,"1,233.387"
SUP-1027,CONTINENTAL HARDWARE GENERAL TRADING CO. W.L.L.,BILL-50712,28-08-2025,27-10-2025,2100.898
SUP-1075, Bin Nakhi General Trading Co. W.L.L. 2 ,BILL-50713,04-09-2025,19-10-2025,1781.098
SUP-1023,Al-Roumi General Trading Co. W.L.L.,BILL-50714,2026-05-20,2026-06-19,231.220
SUP-1035,Bin Nakhi Trading Est.,BILL-50715,13-11-2025,12-01-2026,1422.609
SUP-1061,kuwait paint w.l.l. 2,BILL-50716,24-05-2026,23-06-2026,"2,674.730"
SUP-1025,Gulf Safety Supplies Est.,BILL-50717,05-02-2026,06-05-2026,2498.117
SUP-1015,Gulf Fasteners Trading Co.,BILL-50718,2025-10-25,2025-11-24,2465.093
SUP-1013,Al-Qadi Est.,BILL-50719,2026-05-27,2026-06-11,3266.171
SUP-1006,Al-Ghanim Trading Co.,BILL-50720,16-01-2026,16-04-2026,2983.808
SUP-1014,Al-Mutawa Trading Est.,BILL-50721,02-05-2026,31-07-2026,3346.760
SUP-1013,Al-Qadi Est.,BILL-50722,2025-09-25,2025-10-10,1871.192
SUP-1003,Al-Kuwait Building Materials Est.,BILL-50723,2026-07-14,2026-08-13,3218.563
SUP-1004,Al-Zamil Trading Co.,BILL-50724,22-09-2025,22-10-2025,KD 2583.514
SUP-1001,Al-Rashed W.L.L.,BILL-50725,13-10-2025,12-11-2025,"1,523.188"
SUP-1055,Gulf Fasteners Trading Est. 2,BILL-50726,2026-01-26,2026-04-26,1941.061
SUP-9794,Al-Bahar W.L.L.,BILL-50727,2025-08-18,2025-11-16,1607.685
SUP-1017,Middle East Tools W.L.L.,BILL-50728,15-08-2025,13-11-2025,1360.513
SUP-1042,Gulf Hardware Trading Est. 2,BILL-50729,2026-03-31,2026-04-15,KWD 3425.562
SUP-1029,Salem Trading Trading Co.,BILL-50730,26-07-2026,24-09-2026,2712.238
SUP-1060,Al-Duaij Trading Est. 2,BILL-50731,07-01-2026,21-02-2026,KD 667.314
SUP-9794,Al-Bahar W.L.L.,BILL-50732,08-07-2026,06-10-2026,1302.639
SUP-1008,Al-Marzouq Trading Est.,BILL-50733,2026-03-01,2026-03-16,282.113
SUP-1058,Al-Wazzan Est. 2,BILL-50734,2026-04-21,2026-06-20,1978.478
SUP-1072,Al-Anjari Est. 2,BILL-50735,2026-08-06,2026-11-04,404.738
SUP-1074,Al-Nasser W.L.L. 2,BILL-50736,2026-03-24,2026-05-23,1748.907
SUP-1034,Al-Nasser W.L.L.,BILL-50737,29-01-2026,29-04-2026,3263.474
SUP-1004,Al-Zamil Trading Co.,BILL-50738,14-10-2025,13-11-2025,KD 1699.618
SUP-1002,Gulf Hardware W.L.L.,BILL-50739,24-11-2025,23-01-2026,1847.029
SUP-1073,Gulf Ironmongery Trading Est. 2,BILL-50740,30-04-2026,29-07-2026,2100.575
SUP-1002,Gulf Hardware W.L.L.,BILL-50741,2025-08-31,2025-10-30,1371.168
SUP-1004,Al-Zamil Trading Co.,BILL-50742,2026-02-09,2026-03-11,1350.633
SUP-1024,Al-Sabah Trading Trading Co.,BILL-50743,03-07-2026,01-10-2026,2668.761
SUP-1068,Al-Yaqout W.L.L. 2,BILL-50744,2026-08-05,2026-09-19,733.315
SUP-1017,Middle East Tools W.L.L.,BILL-50745,25-07-2026,23-10-2026,3087.350
SUP-1077,Kuwait Adhesives General Trading Co. W.L.L. 2,BILL-50746,2025-09-02,2025-10-17,1984.186
SUP-1029,Salem Trading Trading Co.,BILL-50747,10-02-2026,11-04-2026,665.516
SUP-1024,Al-Sabah Trading Trading Co.,BILL-50748,2026-06-23,2026-09-21,KD 1234.179
SUP-1044,al-zamil trading co. 2,BILL-50749,2025-09-14,2025-10-29,3499.989
SUP-1066,AL-AJMI EST. 2,BILL-50750,2026-08-01,2026-10-30,984.326
SUP-1041,Al-Rashed W.L.L. 2,BILL-50751,29-10-2025,28-11-2025,-246.393
SUP-1004,Al-Zamil Trading Co.,BILL-50752,2025-10-03,2025-11-02,"1,053.268"
SUP-1020, Al-Duaij Trading Co. ,BILL-50753,2026-07-21,2026-10-19,117.697
SUP-1006,AL-GHANIM TRADING CO.,BILL-50754,2026-04-12,2026-07-11,770.828
SUP-1020,Al-Duaij Trading Co.,BILL-50755,17-04-2026,16-07-2026,2013.477
SUP-1045,national tools w.l.l. 2,BILL-50756,18-06-2026,02-08-2026,1382.146
SUP-1023,Al-Roumi General Trading Co. W.L.L.,BILL-50757,2026-05-27,2026-06-26,2891.957
SUP-1005,National Tools W.L.L.  ,BILL-50758,2025-10-19,2025-11-18,1425.108
SUP-1054,Al-Mutawa General Trading Co. W.L.L. 2,BILL-50759,04-06-2026,02-09-2026,KD 1450.254
SUP-1031,Desert Star Hardware W.L.L.,BILL-50760,07-05-2026,22-05-2026,3206.438
SUP-1007,Sultan Center Trading Co.,BILL-50761,04-05-2026,18-06-2026,2225.681
SUP-1050,Kuwait Steel Est. 2,BILL-50762,2026-02-02,2026-03-19,2405.251
SUP-9458,Sultan Center Trading Co.,BILL-50763,2025-12-16,2026-01-30,"1,886.670"
SUP-1005,National Tools W.L.L.,BILL-50764,2026-02-20,2026-03-22,1409.207
SUP-1036,Al-Enezi Est..,BILL-50765,19-11-2025,18-01-2026,2308.356
SUP-1065,Gulf Safety Supplies W.L.L. 2,BILL-50766,16-03-2026,31-03-2026,204.035
SUP-1076,Al-Enezi W.L.L. 2,BILL-50767,02-05-2026,01-06-2026,2061.743
SUP-1072,Al-Anjari Est. 2,BILL-50768,2025-08-29,2025-11-27,516.854
SUP-1038,Al-Osaimi Trading Co.,BILL-50769,26-01-2026,26-04-2026,2273.738
SUP-1041,Al-Rashed W.L.L. 2,BILL-50770,25-01-2026,24-02-2026,2679.686
SUP-9458,Sultan Center Trading Co.,BILL-50771,2026-06-13,2026-07-28,1911.253
SUP-1077,Kuwait Adhesives General Trading Co. W.L.L. 2,BILL-50772,15-11-2025,30-12-2025,1685.743
SUP-1020,Al-Duaij Trading Co.,BILL-50773,06-02-2026,07-05-2026,3427.036
SUP-1045,National Tools W.L.L. 2,BILL-50774,2025-08-30,2025-10-14,KD 408.704
SUP-1015,Gulf Fasteners Trading Co.,BILL-50775,19-12-2025,18-01-2026,995.998
SUP-1033,Gulf Ironmongery General Trading Co. W.L.L.,BILL-50776,2025-10-12,2025-11-11,415.657
SUP-1059,Bin Hindi Est. 2,BILL-50777,29-11-2025,14-12-2025,2566.146
SUP-1067,Continental Hardware Trading Est. 2,BILL-50778,30-06-2026,15-07-2026,314.611
SUP-1058,Al-Wazzan Est. 2,BILL-50779,25-07-2026,23-09-2026,3440.268
SUP-1016,Al-Ostath General Trading Co. W.L.L.,BILL-50780,2025-08-26,2025-09-25,555.261
SUP-1040,al-sanea trading co. 2,BILL-50781,2026-06-10,2026-06-25,2785.492
SUP-1072,Al-Anjari Est. 2,BILL-50782,2025-11-28,2026-02-26,2461.729
SUP-1074,Al-Nasser W.L.L. 2,BILL-50783,07-03-2026,06-05-2026,254.499
SUP-1009,Al-Bahar W.L.L.,BILL-50784,24-08-2025,22-11-2025,"3,148.922"
SUP-1022,  Al-Hajeri W.L.L.,BILL-50785,17-08-2025,16-09-2025,"1,394.271"
SUP-1046,Al-Ghanim W.L.L. 2,BILL-50786,2026-02-27,2026-04-13,2069.250
SUP-1019,Bin Hindi Est.,BILL-50787,2025-10-04,2025-12-03,KWD 2207.929
SUP-1009,Al-Bahar W.L.L.  ,BILL-50788,2026-02-08,2026-05-09,"1,313.738"
SUP-1053,AL-QADI EST. 2  ,BILL-50789,2025-10-16,2025-11-30,296.058
SUP-1042,Gulf Hardware Trading Est. 2,BILL-50790,2025-12-12,2025-12-27,"2,024.758"
SUP-1031,Desert Star Hardware W.L.L.,BILL-50791,03-01-2026,18-01-2026,1586.976
SUP-1025,Gulf Safety Supplies Est.,BILL-50792,2026-02-26,2026-05-27,2402.678
SUP-1041,Al-Rashed W.L.L. 2,BILL-50793,2026-08-02,2026-09-01,KWD 2103.070
SUP-9794,Al-Bahar W.L.L.,BILL-50794,2025-10-06,2026-01-04,1562.658
SUP-1057,Middle East Tools General Trading Co. W.L.L. 2,BILL-50795,30-10-2025,29-12-2025,1026.733
SUP-1035,Bin Nakhi Trading Est.,BILL-50796,2025-11-01,2025-12-31,KD 2289.747
SUP-1049,Al-Bahar W.L.L. 2,BILL-50797,04-10-2025,02-01-2026,2108.179
SUP-1068,Al-Yaqout W.L.L. 2,BILL-50798,2026-07-18,2026-09-01,186.653
SUP-1047,SULTAN CENTER GENERAL TRADING CO. W.L.L. 2,BILL-50799,11-10-2025,25-11-2025,1756.442
SUP-1018,Al-Wazzan W.L.L.,BILL-50800,2025-11-30,2025-12-15,"1,765.760"
SUP-1040,Al-Sanea Trading Co. 2,BILL-50801,16-11-2025,01-12-2025,1745.936
SUP-1045,National Tools W.L.L. 2,BILL-50802,17-09-2025,01-11-2025,3192.694
SUP-1070,Al-Khaled General Trading Co. W.L.L. 2,BILL-50803,2026-07-17,2026-09-15,3483.652
SUP-1073, Gulf Ironmongery Trading Est. 2 ,BILL-50804,04-04-2026,03-07-2026,1389.666
SUP-1066,Al-Ajmi Est. 2,BILL-50805,2025-09-11,2025-12-10,"1,046.061"
SUP-1073,Gulf Ironmongery Trading Est. 2,BILL-50806,15-10-2025,13-01-2026,2494.877
SUP-1071,Desert Star Hardware Trading Co. 2,BILL-50807,2026-04-20,2026-06-04,1442.496
SUP-9458,Sultan Center Trading Co.,BILL-50808,07-12-2025,21-01-2026,468.051
SUP-1059,Bin Hindi Est. 2,BILL-50809,2025-12-21,2026-01-05,1662.128
SUP-1023,Al-Roumi General Trading Co. W.L.L.,BILL-50810,2026-01-02,2026-02-01,2666.250
SUP-9794,Al-Bahar W.L.L.,BILL-50811,23-04-2026,22-07-2026,"2,410.115"
SUP-1041,Al-Rashed W.L.L. 2,BILL-50812,22-12-2025,21-01-2026,KD 1177.121
SUP-1016, Al-Ostath General Trading Co. W.L.L. ,BILL-50813,2026-05-22,2026-06-21,1562.098
SUP-1070,Al-Khaled General Trading Co. W.L.L. 2,BILL-50814,21-01-2026,22-03-2026,2835.905
SUP-1006,Al-Ghanim Trading Co.,BILL-50815,2025-12-04,2026-03-04,3167.837
SUP-1060,al-duaij trading est. 2,BILL-50816,2026-07-13,2026-08-27,1814.110
SUP-1053,Al-Qadi Est. 2,BILL-50817,2026-08-07,2026-09-21,531.897
SUP-1000,Al-Sanea W.L.L.,BILL-50818,2026-01-02,2026-03-03,3374.399
SUP-1027,continental hardware general trading co. w.l.l.,BILL-50819,2026-04-22,2026-06-21,893.630
SUP-1010,Kuwait Steel W.L.L.,BILL-50820,2026-04-14,2026-07-13,1231.805
SUP-1074,Al-Nasser W.L.L. 2,BILL-50821,2025-08-07,2025-10-06,1274.854
SUP-1020,Al-Duaij Trading Co.  ,BILL-50822,24-04-2026,23-07-2026,3277.436
SUP-1000,Al-Sanea W.L.L.,BILL-50823,2025-10-27,2025-12-26,3029.815
SUP-1005,National Tools W.L.L.,BILL-50824,2026-03-20,2026-04-19,1915.375
SUP-1030,Al-Khaled  Trading Est.,BILL-50825,2026-01-12,2026-02-11,275.041
SUP-1064,Al-Sabah Trading W.L.L. 2,BILL-50826,12-10-2025,27-10-2025,2299.812
SUP-1013,Al-Qadi  Est.,BILL-50827,02-05-2026,17-05-2026,1158.222
SUP-1009, Al-Bahar W.L.L. ,BILL-50828,26-11-2025,24-02-2026,1092.251
SUP-1033, Gulf Ironmongery General Trading Co. W.L.L. ,BILL-50829,2025-12-02,2026-01-01,1228.149
SUP-1044,Al-Zamil Trading Co. 2,BILL-50830,30-06-2026,14-08-2026,1787.987
SUP-1078,Al-Osaimi General Trading Co. W.L.L. 2,BILL-50831,2025-09-19,2025-11-03,"3,051.716"
SUP-1036,Al-Enezi Est.,BILL-50832,15-11-2025,14-01-2026,2019.375
SUP-1013,Al-Qadi Est.,BILL-50833,2026-06-06,2026-06-21,"1,335.588"
SUP-1003,AL-KUWAIT BUILDING MATERIALS EST.,BILL-50834,2026-04-18,2026-05-18,1613.319
SUP-1020,Al-Duaij Trading Co.,BILL-50835,2025-12-12,2026-03-12,790.313
SUP-1029,Salem Trading Trading Co.,BILL-50836,23-06-2026,22-08-2026,728.435
SUP-1003,Al-Kuwait Building Materials Est.,BILL-50837,2026-01-25,2026-02-24,2300.541
SUP-1072,Al-Anjari Est. 2,BILL-50838,2025-11-09,2026-02-07,KWD 2051.754
SUP-1045,National Tools W.L.L. 2,BILL-50839,2026-08-05,2026-09-19,3114.309
SUP-1071,desert star hardware trading co. 2,BILL-50840,10-07-2026,24-08-2026,405.314
SUP-1014,al-mutawa trading est.,BILL-50841,2026-02-08,2026-05-09,KD 2035.466
SUP-1048,Al-Marzouq Trading Co. 2,BILL-50842,08-11-2025,06-02-2026,KD 3400.060
SUP-1049,al-bahar w.l.l. 2,BILL-50843,02-11-2025,31-01-2026,850.193
SUP-1028,Al-Yaqout Trading Co.,BILL-50844,2025-12-27,2026-01-11,"1,373.230"
SUP-1006,Al-Ghanim Trading Co.,BILL-50845,29-07-2026,27-10-2026,2606.456
SUP-1077,Kuwait Adhesives General Trading Co. W.L.L. 2,BILL-50846,2025-08-07,2025-09-21,1827.315
SUP-1010,Kuwait Steel W.L.L.,BILL-50847,2026-03-22,2026-06-20,2218.595
SUP-1014,Al-Mutawa Trading Est.,BILL-50848,2025-12-16,2026-03-16,2521.990
SUP-1053,Al-Qadi Est. 2,BILL-50849,2026-05-25,2026-07-09,393.027
SUP-1059,Bin Hindi Est. 2,BILL-50850,18-06-2026,03-07-2026,786.047
SUP-1003,Al-Kuwait Building Materials Est.,BILL-50851,30-10-2025,29-11-2025,2224.811
SUP-1039,First Gulf Tools Est.,BILL-50852,2026-01-18,2026-02-17,385.393
SUP-1003,Al-Kuwait Building Materials Est.,BILL-50853,29-11-2025,29-12-2025,3093.899
SUP-1065,Gulf Safety Supplies W.L.L. 2,BILL-50854,2026-06-13,2026-06-28,2036.600
SUP-1078,Al-Osaimi General Trading Co. W.L.L. 2,BILL-50855,08-12-2025,22-01-2026,972.887
SUP-1030,Al-Khaled Trading Est.,BILL-50856,2026-05-10,2026-06-09,460.208
SUP-1003,Al-Kuwait Building Materials Est.,BILL-50857,11-06-2026,11-07-2026,615.258
SUP-1078,AL-OSAIMI GENERAL TRADING CO. W.L.L. 2,BILL-50858,2026-04-22,2026-06-06,1404.406
SUP-1055,gulf  fasteners trading est. 2,BILL-50859,11-07-2026,09-10-2026,2258.508
SUP-1018,Al-Wazzan W.L.L.,BILL-50860,24-11-2025,09-12-2025,1662.800
SUP-1064,Al-Sabah Trading W.L.L. 2,BILL-50861,2025-11-16,2025-12-01,1877.496
SUP-1024,Al-Sabah Trading Trading Co.,BILL-50862,2026-06-15,2026-09-13,1637.657
SUP-1052,Union Hardware W.L.L. 2,BILL-50863,16-09-2025,15-11-2025,2908.377
SUP-1027,Continental Hardware General Trading Co. W.L.L.,BILL-50864,08-11-2025,07-01-2026,2798.269
SUP-1000,Al-Sanea W.L.L.,BILL-50865,2026-03-24,2026-05-23,3315.003
SUP-1019,Bin Hindi Est.  ,BILL-50866,18-10-2025,17-12-2025,3104.644
SUP-1046,Al-Ghanim W.L.L. 2,BILL-50867,2025-10-08,2025-11-22,186.698
SUP-1075,Bin Nakhi General Trading Co. W.L.L. 2,BILL-50868,2026-02-19,2026-04-05,1044.465
SUP-9458,Sultan Center Trading Co.,BILL-50869,2025-08-09,2025-09-23,2389.315
SUP-1020,Al-Duaij Trading Co.,BILL-50870,2026-02-25,2026-05-26,3085.071
SUP-1060,Al-Duaij Trading Est. 2,BILL-50871,2026-03-21,2026-05-05,"2,056.059"
SUP-1000,Al-Sanea W.L.L.,BILL-50872,2026-05-09,2026-07-08,1100.002
SUP-1041,Al-Rashed W.L.L. 2,BILL-50873,2025-09-24,2025-10-24,898.263
SUP-9794,Al-Bahar W.L.L.,BILL-50874,30-03-2026,28-06-2026,862.315
SUP-1006,Al-Ghanim Trading Co.,BILL-50875,09-04-2026,08-07-2026,676.335
SUP-1055,Gulf Fasteners Trading Est. 2,BILL-50876,2026-06-05,2026-09-03,2714.869
SUP-1004,Al-Zamil Trading Co.,BILL-50877,18-01-2026,17-02-2026,563.809
SUP-1078,Al-Osaimi General Trading Co. W.L.L. 2,BILL-50878,16-05-2026,30-06-2026,3259.423
SUP-1041,Al-Rashed W.L.L. 2,BILL-50879,2025-11-30,2025-12-30,1254.095
